action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,opponent,remaining_time,2PT Field Goal,3PT Field Goal,Bank Shot,Dunk,Hook Shot,Jump Shot,Layup,Tip Shot,home_court,injury
Jump Shot,Jump Shot,-6,117,2,0,2002,11,0.0,LAC,252,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-151,66,2,0,2002,16,1.0,LAC,190,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-158,191,2,0,2002,24,0.0,LAC,120,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,140,48,3,0,2002,14,1.0,LAC,643,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-97,227,3,0,2002,24,1.0,LAC,617,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-74,169,3,0,2002,18,0.0,LAC,456,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-200,68,3,0,2002,21,0.0,LAC,304,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,156,84,3,0,2002,17,1.0,LAC,167,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,197,-21,3,0,2002,19,0.0,LAC,66,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-64,245,4,0,2002,25,0.0,LAC,567,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,0,76,4,0,2002,7,0.0,LAC,521,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-230,64,4,0,2002,23,0.0,LAC,330,False,True,False,False,False,True,False,False,1,0
Layup Shot,Layup,0,0,4,0,2002,0,1.0,LAC,308,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,158,10,4,0,2002,15,1.0,LAC,268,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,163,-29,4,0,2002,16,0.0,LAC,243,True,False,False,False,False,True,False,False,1,0
Slam Dunk Shot,Dunk,0,0,4,0,2002,0,1.0,LAC,186,True,False,False,True,False,False,False,False,1,0
Turnaround Jump Shot,Jump Shot,126,36,1,0,2002,13,1.0,DET,534,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-141,100,1,0,2002,17,1.0,DET,230,True,False,False,False,False,True,False,False,1,0
Slam Dunk Shot,Dunk,0,0,1,0,2002,0,1.0,DET,171,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,164,-3,1,0,2002,16,0.0,DET,133,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-107,141,2,0,2002,17,0.0,DET,689,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,131,-26,2,0,2002,13,0.0,DET,633,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,161,12,2,0,2002,16,0.0,DET,585,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,5,270,2,0,2002,27,0.0,DET,243,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,140,-11,2,0,2002,14,0.0,DET,8,True,False,False,False,False,True,False,False,1,0
Dunk Shot,Dunk,0,0,3,0,2002,0,0.0,DET,466,True,False,False,True,False,False,False,False,1,0
Running Jump Shot,Jump Shot,-105,81,3,0,2002,13,1.0,DET,426,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-52,191,3,0,2002,19,0.0,DET,352,True,False,False,False,False,True,False,False,1,0
Driving Dunk Shot,Dunk,0,0,3,0,2002,0,1.0,DET,99,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,-84,117,4,0,2002,14,1.0,DET,707,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-87,186,4,0,2002,20,0.0,DET,618,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-126,-21,4,0,2002,12,0.0,DET,527,True,False,False,False,False,True,False,False,1,0
Slam Dunk Shot,Dunk,0,0,4,0,2002,0,1.0,DET,522,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,-48,105,4,0,2002,11,0.0,DET,440,True,False,False,False,False,True,False,False,1,0
Turnaround Jump Shot,Jump Shot,125,110,4,0,2002,16,1.0,DET,88,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-164,148,1,0,2002,22,1.0,SEA,660,True,False,False,False,False,True,False,False,0,0
Hook Shot,Hook Shot,79,192,1,0,2002,20,0.0,SEA,581,True,False,False,False,True,False,False,False,0,0
Jump Shot,Jump Shot,66,10,1,0,2002,6,1.0,SEA,374,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,54,176,1,0,2002,18,1.0,SEA,250,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,105,240,1,0,2002,26,1.0,SEA,99,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,210,160,2,0,2002,26,0.0,SEA,641,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-186,164,2,0,2002,24,0.0,SEA,542,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-192,172,2,0,2002,25,1.0,SEA,689,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,67,248,2,0,2002,25,0.0,SEA,260,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,94,163,2,0,2002,18,0.0,SEA,232,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,92,33,2,0,2002,9,1.0,SEA,107,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,172,18,2,0,2002,17,0.0,SEA,87,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,28,150,3,0,2002,15,0.0,SEA,695,True,False,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,0,0,3,0,2002,0,1.0,SEA,643,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-141,99,3,0,2002,17,0.0,SEA,576,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-15,258,3,0,2002,25,0.0,SEA,512,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,138,13,3,0,2002,13,0.0,SEA,443,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,52,156,3,0,2002,16,0.0,SEA,203,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,144,-19,3,0,2002,14,0.0,SEA,148,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,189,38,3,0,2002,19,0.0,SEA,63,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,212,145,4,0,2002,25,1.0,SEA,433,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,5,245,4,0,2002,24,1.0,SEA,402,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,176,219,4,0,2002,28,0.0,SEA,374,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,218,138,4,0,2002,25,0.0,SEA,341,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-85,233,4,0,2002,24,0.0,SEA,116,False,True,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,1,0,2002,0,0.0,IND,400,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,51,30,1,0,2002,5,1.0,IND,334,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,69,140,1,0,2002,15,0.0,IND,271,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-146,150,1,0,2002,20,1.0,IND,153,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-187,115,1,0,2002,21,0.0,IND,111,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-159,61,1,0,2002,17,0.0,IND,18,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-123,0,2,0,2002,12,0.0,IND,632,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-163,97,2,0,2002,18,0.0,IND,300,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-38,35,2,0,2002,5,0.0,IND,26,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,84,171,3,0,2002,19,1.0,IND,605,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,-39,71,3,0,2002,8,1.0,IND,314,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,0,79,3,0,2002,7,1.0,IND,237,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-156,33,3,0,2002,15,0.0,IND,174,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,164,233,3,0,2002,28,0.0,IND,0,False,True,False,False,False,True,False,False,1,0
Driving Layup Shot,Layup,0,0,4,0,2002,0,1.0,IND,552,True,False,False,False,False,False,True,False,1,0
Reverse Dunk Shot,Dunk,0,0,4,0,2002,0,1.0,IND,376,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,36,173,4,0,2002,17,1.0,IND,309,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,77,197,4,0,2002,21,0.0,IND,217,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,0,63,4,0,2002,6,0.0,IND,199,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-102,238,4,0,2002,25,0.0,IND,150,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-117,-13,4,0,2002,11,0.0,IND,138,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,133,122,1,0,2002,18,1.0,MIN,551,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,112,164,1,0,2002,19,0.0,MIN,500,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,146,120,1,0,2002,18,0.0,MIN,200,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,158,204,1,0,2002,25,1.0,MIN,118,False,True,False,False,False,True,False,False,1,0
Turnaround Jump Shot,Jump Shot,107,46,2,0,2002,11,1.0,MIN,699,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-110,120,2,0,2002,16,0.0,MIN,576,True,False,False,False,False,True,False,False,1,0
Jump Hook Shot,Jump Shot,10,68,2,0,2002,6,0.0,MIN,573,True,False,False,False,False,True,False,False,1,0
Fadeaway Jump Shot,Jump Shot,176,-11,2,0,2002,17,1.0,MIN,290,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-77,143,2,0,2002,16,0.0,MIN,256,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-204,-8,2,0,2002,20,0.0,MIN,141,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-159,-9,3,0,2002,15,0.0,MIN,539,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,128,46,3,0,2002,13,1.0,MIN,446,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-95,230,3,0,2002,24,1.0,MIN,5,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-97,164,4,0,2002,19,1.0,MIN,661,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-74,81,4,0,2002,10,1.0,MIN,630,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,39,255,4,0,2002,25,0.0,MIN,539,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-87,174,4,0,2002,19,0.0,MIN,483,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-128,158,4,0,2002,20,1.0,MIN,341,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,112,174,1,0,2002,20,1.0,PHI,561,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,87,63,1,0,2002,10,0.0,PHI,366,True,False,False,False,False,True,False,False,1,0
Turnaround Jump Shot,Jump Shot,149,12,1,0,2002,14,1.0,PHI,250,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,10,278,1,0,2002,27,0.0,PHI,86,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-97,137,2,0,2002,16,0.0,PHI,683,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,163,-3,2,0,2002,16,0.0,PHI,582,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-8,58,2,0,2002,5,1.0,PHI,556,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,79,196,2,0,2002,21,1.0,PHI,518,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,112,155,2,0,2002,19,0.0,PHI,96,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,125,86,2,0,2002,15,0.0,PHI,29,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,171,-6,3,0,2002,17,0.0,PHI,547,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-151,158,3,0,2002,21,1.0,PHI,434,True,False,False,False,False,True,False,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2002,0,1.0,PHI,226,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,-38,141,3,0,2002,14,0.0,PHI,43,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-122,140,3,0,2002,18,0.0,PHI,0,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-103,138,4,0,2002,17,0.0,PHI,669,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,141,100,1,0,2002,17,0.0,CHI,687,True,False,False,False,False,True,False,False,0,0
Fadeaway Jump Shot,Jump Shot,-97,31,1,0,2002,10,1.0,CHI,455,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,1,0,2002,0,0.0,CHI,432,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,187,-3,1,0,2002,18,1.0,CHI,407,True,False,False,False,False,True,False,False,0,0
Dunk Shot,Dunk,0,0,1,0,2002,0,1.0,CHI,385,True,False,False,True,False,False,False,False,0,0
Jump Shot,Jump Shot,172,41,1,0,2002,17,0.0,CHI,365,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-69,191,2,0,2002,20,1.0,CHI,702,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,74,197,2,0,2002,21,1.0,CHI,585,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,222,107,2,0,2002,24,1.0,CHI,261,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,153,-11,2,0,2002,15,0.0,CHI,236,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,172,197,2,0,2002,26,0.0,CHI,167,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-82,10,2,0,2002,8,1.0,CHI,114,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,166,10,3,0,2002,16,0.0,CHI,444,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,3,0,2002,0,1.0,CHI,331,True,False,False,False,False,False,True,False,0,0
Layup Shot,Layup,0,0,3,0,2002,0,0.0,CHI,215,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-191,125,3,0,2002,22,1.0,CHI,135,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-176,181,3,0,2002,25,0.0,CHI,0,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-146,160,4,0,2002,21,0.0,CHI,672,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,4,0,2002,0,0.0,CHI,630,True,False,False,False,False,False,True,False,0,0
Driving Layup Shot,Layup,0,0,4,0,2002,0,1.0,CHI,570,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,108,138,4,0,2002,17,1.0,CHI,328,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-71,46,4,0,2002,8,1.0,CHI,181,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,171,183,4,0,2002,25,0.0,CHI,70,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,133,64,4,0,2002,14,0.0,CHI,27,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-110,232,1,0,2002,25,1.0,DET,595,False,True,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,1,0,2002,0,0.0,DET,569,True,False,False,False,False,False,True,False,0,0
Layup Shot,Layup,0,0,1,0,2002,0,0.0,DET,561,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,98,250,1,0,2002,26,1.0,DET,520,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-159,38,1,0,2002,16,1.0,DET,392,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-164,20,1,0,2002,16,1.0,DET,63,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-194,2,1,0,2002,19,1.0,DET,37,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,158,69,2,0,2002,17,0.0,DET,700,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,2,0,2002,0,0.0,DET,297,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-202,28,2,0,2002,20,0.0,DET,235,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-110,184,2,0,2002,21,0.0,DET,3,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,3,0,2002,0,0.0,DET,556,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-16,146,3,0,2002,14,0.0,DET,195,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,156,51,4,0,2002,16,0.0,DET,651,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,156,12,4,0,2002,15,0.0,DET,607,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,131,49,4,0,2002,13,0.0,DET,562,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,4,0,2002,0,0.0,DET,263,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,103,20,4,0,2002,10,0.0,DET,171,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-177,109,1,0,2002,20,0.0,MIN,705,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,125,-13,1,0,2002,12,0.0,MIN,638,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,46,72,1,0,2002,8,0.0,MIN,512,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-171,7,1,0,2002,17,0.0,MIN,498,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-59,68,1,0,2002,9,1.0,MIN,376,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-156,130,1,0,2002,20,1.0,MIN,248,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,1,0,2002,0,1.0,MIN,232,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-131,112,1,0,2002,17,1.0,MIN,94,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-192,191,1,0,2002,27,0.0,MIN,35,False,True,False,False,False,True,False,False,0,0
Running Jump Shot,Jump Shot,-163,112,2,0,2002,19,1.0,MIN,79,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,136,-8,2,0,2002,13,0.0,MIN,5,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,181,10,3,0,2002,18,0.0,MIN,514,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,115,20,3,0,2002,11,0.0,MIN,508,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-154,117,3,0,2002,19,0.0,MIN,339,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-16,252,3,0,2002,25,1.0,MIN,311,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,136,133,4,0,2002,19,0.0,MIN,651,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,184,-24,4,0,2002,18,0.0,MIN,550,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-182,74,4,0,2002,19,1.0,MIN,442,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,4,0,2002,0,0.0,MIN,332,True,False,False,False,False,False,True,False,0,0
Running Jump Shot,Jump Shot,-102,82,4,0,2002,13,1.0,MIN,109,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-128,176,1,0,2002,21,0.0,MIL,456,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-136,110,1,0,2002,17,1.0,MIL,198,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,112,-14,2,0,2002,11,0.0,MIL,518,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,80,10,2,0,2002,8,1.0,MIL,180,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-205,153,2,0,2002,25,0.0,MIL,4,False,True,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,3,0,2002,0,1.0,MIL,561,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-141,31,3,0,2002,14,0.0,MIL,426,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,131,-18,3,0,2002,13,0.0,MIL,272,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-110,176,3,0,2002,20,0.0,MIL,230,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,3,0,2002,0,0.0,MIL,96,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,171,35,4,0,2002,17,1.0,MIL,707,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,235,114,4,0,2002,26,0.0,MIL,661,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,156,158,1,0,2002,22,0.0,LAC,491,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-57,197,1,0,2002,20,0.0,LAC,170,True,False,False,False,False,True,False,False,0,0
Reverse Layup Shot,Layup,0,0,2,0,2002,0,1.0,LAC,176,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,38,63,2,0,2002,7,0.0,LAC,95,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-23,268,3,0,2002,26,0.0,LAC,686,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,133,158,4,0,2002,20,1.0,LAC,705,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,85,151,4,0,2002,17,1.0,LAC,629,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,164,18,4,0,2002,16,1.0,LAC,176,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,158,-6,1,0,2002,15,0.0,SAC,661,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,181,12,1,0,2002,18,0.0,SAC,493,True,False,False,False,False,True,False,False,0,0
Tip Shot,Tip Shot,0,0,1,0,2002,0,0.0,SAC,488,True,False,False,False,False,False,False,True,0,0
Jump Shot,Jump Shot,-75,17,1,0,2002,7,0.0,SAC,486,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,61,31,1,0,2002,6,0.0,SAC,235,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,3,204,1,0,2002,20,0.0,SAC,166,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-158,209,1,0,2002,26,0.0,SAC,86,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-59,187,2,0,2002,19,0.0,SAC,572,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,181,135,2,0,2002,22,1.0,SAC,291,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,74,10,2,0,2002,7,1.0,SAC,92,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-145,169,2,0,2002,22,0.0,SAC,34,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,235,10,3,0,2002,23,0.0,SAC,651,False,True,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,0,0,3,0,2002,0,1.0,SAC,520,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,126,186,3,0,2002,22,0.0,SAC,493,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,133,20,3,0,2002,13,0.0,SAC,428,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,33,49,3,0,2002,5,0.0,SAC,423,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,192,69,3,0,2002,20,1.0,SAC,278,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,195,125,3,0,2002,23,0.0,SAC,169,True,False,False,False,False,True,False,False,0,0
Alley Oop Dunk Shot,Dunk,0,0,3,0,2002,0,1.0,SAC,57,True,False,False,True,False,False,False,False,0,0
Jump Shot,Jump Shot,166,35,3,0,2002,16,1.0,SAC,22,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-168,69,4,0,2002,18,0.0,SAC,675,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,72,63,4,0,2002,9,0.0,SAC,614,True,False,False,False,False,True,False,False,0,0
Fadeaway Jump Shot,Jump Shot,-197,-13,4,0,2002,19,1.0,SAC,575,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-141,202,4,0,2002,24,1.0,SAC,508,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,187,12,4,0,2002,18,0.0,SAC,287,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,4,0,2002,0,1.0,SAC,128,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,100,253,4,0,2002,27,0.0,SAC,40,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-43,247,4,0,2002,25,0.0,SAC,34,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,131,224,1,0,2002,25,0.0,BOS,665,False,True,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,72,26,1,0,2002,7,1.0,BOS,451,True,False,False,False,False,True,False,False,1,0
Reverse Layup Shot,Layup,0,0,2,0,2002,0,0.0,BOS,667,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,-61,253,2,0,2002,26,0.0,BOS,626,False,True,False,False,False,True,False,False,1,0
Turnaround Jump Shot,Jump Shot,-115,95,2,0,2002,14,0.0,BOS,581,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,103,196,4,0,2002,22,0.0,BOS,664,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,105,35,4,0,2002,11,0.0,BOS,583,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,144,115,1,0,2002,18,0.0,SAS,598,True,False,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,23,3,1,0,2002,2,0.0,SAS,160,True,False,False,False,False,False,True,False,0,0
Layup Shot,Layup,23,8,1,0,2002,2,0.0,SAS,153,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-156,125,1,0,2002,19,1.0,SAS,51,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-163,15,1,0,2002,16,0.0,SAS,30,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,197,317,2,0,2002,37,0.0,SAS,632,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,43,217,2,0,2002,22,0.0,SAS,530,True,False,False,False,False,True,False,False,0,0
Turnaround Jump Shot,Jump Shot,-82,12,2,0,2002,8,0.0,SAS,176,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,146,15,2,0,2002,14,0.0,SAS,81,True,False,False,False,False,True,False,False,0,0
