action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,shot_zone_area,shot_zone_basic,opponent,remaining_time,2PT Field Goal,3PT Field Goal,home_court,injury
Jump Shot,Jump Shot,143,69,4,0,2002,15,0.0,Right Side(R),Mid-Range,HOU,171,True,False,1,0
Jump Shot,Jump Shot,210,-8,4,0,2002,21,0.0,Right Side(R),Mid-Range,HOU,52,True,False,1,0
Jump Shot,Jump Shot,110,222,4,0,2002,24,0.0,Right Side Center(RC),Above the Break 3,HOU,0,False,True,1,0
Driving Layup Shot,Layup,0,0,5,0,2002,0,1.0,Center(C),Restricted Area,HOU,128,True,False,1,0
Jump Shot,Jump Shot,84,28,5,0,2002,8,0.0,Right Side(R),Mid-Range,HOU,91,True,False,1,0
Jump Shot,Jump Shot,43,45,5,0,2002,6,1.0,Center(C),In The Paint (Non-RA),HOU,19,True,False,1,0
Driving Dunk Shot,Dunk,0,0,6,0,2002,0,1.0,Center(C),Restricted Area,HOU,166,True,False,1,0
Jump Shot,Jump Shot,-18,250,6,0,2002,25,0.0,Center(C),Above the Break 3,HOU,19,False,True,1,0
Jump Shot,Jump Shot,-135,204,1,0,2002,24,1.0,Left Side Center(LC),Above the Break 3,UTA,643,False,True,0,0
Jump Shot,Jump Shot,212,-18,1,0,2002,21,1.0,Right Side(R),Mid-Range,UTA,526,True,False,0,0
Jump Shot,Jump Shot,-148,-18,1,0,2002,14,1.0,Left Side(L),Mid-Range,UTA,489,True,False,0,0
Jump Shot,Jump Shot,-138,204,1,0,2002,24,1.0,Left Side Center(LC),Above the Break 3,UTA,414,False,True,0,0
Jump Shot,Jump Shot,-117,158,1,0,2002,19,0.0,Left Side Center(LC),Mid-Range,UTA,277,True,False,0,0
Jump Shot,Jump Shot,-67,151,1,0,2002,16,1.0,Left Side Center(LC),Mid-Range,UTA,211,True,False,0,0
Jump Shot,Jump Shot,186,18,1,0,2002,18,0.0,Right Side(R),Mid-Range,UTA,88,True,False,0,0
Jump Shot,Jump Shot,187,-6,1,0,2002,18,0.0,Right Side(R),Mid-Range,UTA,51,True,False,0,0
Jump Shot,Jump Shot,75,100,1,0,2002,12,0.0,Right Side(R),In The Paint (Non-RA),UTA,51,True,False,0,0
Jump Shot,Jump Shot,176,68,2,0,2002,18,0.0,Right Side(R),Mid-Range,UTA,332,True,False,0,0
Layup Shot,Layup,0,0,2,0,2002,0,1.0,Center(C),Restricted Area,UTA,291,True,False,0,0
Jump Shot,Jump Shot,113,140,2,0,2002,17,0.0,Right Side Center(RC),Mid-Range,UTA,122,True,False,0,0
Jump Shot,Jump Shot,56,51,2,0,2002,7,0.0,Center(C),In The Paint (Non-RA),UTA,118,True,False,0,0
Jump Shot,Jump Shot,8,229,3,0,2002,22,0.0,Center(C),Mid-Range,UTA,317,True,False,0,0
Jump Shot,Jump Shot,-168,-18,3,0,2002,16,0.0,Left Side(L),Mid-Range,UTA,226,True,False,0,0
Jump Shot,Jump Shot,146,201,3,0,2002,24,1.0,Right Side Center(RC),Above the Break 3,UTA,193,False,True,0,0
Jump Shot,Jump Shot,121,5,3,0,2002,12,1.0,Right Side(R),Mid-Range,UTA,79,True,False,0,0
Jump Shot,Jump Shot,-13,255,3,0,2002,25,0.0,Center(C),Above the Break 3,UTA,46,False,True,0,0
Jump Shot,Jump Shot,-26,257,4,0,2002,25,0.0,Center(C),Above the Break 3,UTA,419,False,True,0,0
Jump Shot,Jump Shot,133,0,4,0,2002,13,1.0,Right Side(R),Mid-Range,UTA,300,True,False,0,0
Jump Shot,Jump Shot,-172,102,4,0,2002,19,1.0,Left Side(L),Mid-Range,UTA,251,True,False,0,0
Jump Shot,Jump Shot,126,176,4,0,2002,21,0.0,Right Side Center(RC),Mid-Range,UTA,194,True,False,0,0
Jump Shot,Jump Shot,-166,138,4,0,2002,21,1.0,Left Side Center(LC),Mid-Range,UTA,118,True,False,0,0
Jump Shot,Jump Shot,-202,36,4,0,2002,20,0.0,Left Side(L),Mid-Range,UTA,51,True,False,0,0
Jump Shot,Jump Shot,-191,160,1,0,2002,24,1.0,Left Side Center(LC),Above the Break 3,POR,704,False,True,1,0
Driving Dunk Shot,Dunk,0,0,1,0,2002,0,1.0,Center(C),Restricted Area,POR,623,True,False,1,0
Jump Shot,Jump Shot,-100,140,1,0,2002,17,0.0,Left Side Center(LC),Mid-Range,POR,584,True,False,1,0
Turnaround Jump Shot,Jump Shot,136,43,1,0,2002,14,1.0,Right Side(R),Mid-Range,POR,259,True,False,1,0
Driving Dunk Shot,Dunk,0,0,1,0,2002,0,1.0,Center(C),Restricted Area,POR,155,True,False,1,0
Running Jump Shot,Jump Shot,118,118,1,0,2002,16,1.0,Right Side Center(RC),Mid-Range,POR,131,True,False,1,0
Jump Shot,Jump Shot,144,107,1,0,2002,17,0.0,Right Side Center(RC),Mid-Range,POR,61,True,False,1,0
Jump Shot,Jump Shot,107,120,1,0,2002,16,0.0,Right Side Center(RC),Mid-Range,POR,34,True,False,1,0
Jump Shot,Jump Shot,143,626,1,0,2002,64,0.0,Back Court(BC),Backcourt,POR,0,False,True,1,0
Jump Shot,Jump Shot,146,114,2,0,2002,18,1.0,Right Side Center(RC),Mid-Range,POR,692,True,False,1,0
Running Jump Shot,Jump Shot,166,-3,2,0,2002,16,1.0,Right Side(R),Mid-Range,POR,553,True,False,1,0
Jump Shot,Jump Shot,-74,235,2,0,2002,24,0.0,Center(C),Above the Break 3,POR,288,False,True,1,0
Driving Layup Shot,Layup,0,0,2,0,2002,0,1.0,Center(C),Restricted Area,POR,236,True,False,1,0
Jump Shot,Jump Shot,202,-14,2,0,2002,20,1.0,Right Side(R),Mid-Range,POR,128,True,False,1,0
Jump Shot,Jump Shot,190,117,2,0,2002,22,1.0,Right Side(R),Mid-Range,POR,104,True,False,1,0
Jump Shot,Jump Shot,-136,130,3,0,2002,18,0.0,Left Side Center(LC),Mid-Range,POR,561,True,False,1,0
Driving Layup Shot,Layup,0,0,4,0,2002,0,1.0,Center(C),Restricted Area,POR,707,True,False,1,0
Jump Shot,Jump Shot,-141,35,4,0,2002,14,0.0,Left Side(L),Mid-Range,POR,649,True,False,1,0
Jump Shot,Jump Shot,-48,166,4,0,2002,17,0.0,Center(C),Mid-Range,POR,584,True,False,1,0
Jump Shot,Jump Shot,67,97,4,0,2002,11,0.0,Right Side(R),In The Paint (Non-RA),POR,503,True,False,1,0
Jump Shot,Jump Shot,232,82,4,0,2002,24,0.0,Right Side(R),Right Corner 3,POR,256,False,True,1,0
Jump Shot,Jump Shot,159,194,4,0,2002,25,1.0,Right Side Center(RC),Above the Break 3,POR,223,False,True,1,0
Jump Shot,Jump Shot,80,230,4,0,2002,24,0.0,Right Side Center(RC),Above the Break 3,POR,163,False,True,1,0
Jump Shot,Jump Shot,-151,-28,4,0,2002,15,0.0,Left Side(L),Mid-Range,POR,102,True,False,1,0
Running Jump Shot,Jump Shot,-163,26,4,0,2002,16,1.0,Left Side(L),Mid-Range,POR,9,True,False,1,0
Jump Shot,Jump Shot,-140,215,1,0,2002,25,0.0,Left Side Center(LC),Above the Break 3,SEA,669,False,True,1,0
Running Jump Shot,Jump Shot,75,84,1,0,2002,11,1.0,Right Side(R),In The Paint (Non-RA),SEA,581,True,False,1,0
Jump Shot,Jump Shot,153,112,1,0,2002,18,0.0,Right Side Center(RC),Mid-Range,SEA,504,True,False,1,0
Jump Shot,Jump Shot,227,109,1,0,2002,25,0.0,Right Side Center(RC),Above the Break 3,SEA,499,False,True,1,0
Driving Layup Shot,Layup,0,0,1,0,2002,0,1.0,Center(C),Restricted Area,SEA,436,True,False,1,0
Layup Shot,Layup,0,0,1,0,2002,0,0.0,Center(C),Restricted Area,SEA,58,True,False,1,0
Jump Shot,Jump Shot,-169,107,2,0,2002,20,0.0,Left Side(L),Mid-Range,SEA,611,True,False,1,0
Turnaround Jump Shot,Jump Shot,131,13,2,0,2002,13,0.0,Right Side(R),Mid-Range,SEA,368,True,False,1,0
Jump Shot,Jump Shot,-34,95,2,0,2002,10,1.0,Center(C),In The Paint (Non-RA),SEA,60,True,False,1,0
Jump Shot,Jump Shot,161,-8,2,0,2002,16,1.0,Right Side(R),Mid-Range,SEA,32,True,False,1,0
Jump Shot,Jump Shot,105,105,2,0,2002,14,1.0,Right Side(R),Mid-Range,SEA,0,True,False,1,0
Jump Shot,Jump Shot,-110,127,3,0,2002,16,0.0,Left Side Center(LC),Mid-Range,SEA,690,True,False,1,0
Jump Shot,Jump Shot,-10,202,3,0,2002,20,0.0,Center(C),Mid-Range,SEA,639,True,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2002,0,1.0,Center(C),Restricted Area,SEA,541,True,False,1,0
Jump Shot,Jump Shot,125,3,3,0,2002,12,0.0,Right Side(R),Mid-Range,SEA,506,True,False,1,0
Jump Shot,Jump Shot,90,243,3,0,2002,25,0.0,Right Side Center(RC),Above the Break 3,SEA,317,False,True,1,0
Slam Dunk Shot,Dunk,0,0,3,0,2002,0,1.0,Center(C),Restricted Area,SEA,279,True,False,1,0
Jump Shot,Jump Shot,44,145,3,0,2002,15,0.0,Center(C),Mid-Range,SEA,249,True,False,1,0
Slam Dunk Shot,Dunk,0,0,3,0,2002,0,1.0,Center(C),Restricted Area,SEA,171,True,False,1,0
Jump Shot,Jump Shot,67,258,3,0,2002,26,0.0,Center(C),Above the Break 3,SEA,87,False,True,1,0
Jump Shot,Jump Shot,-66,257,3,0,2002,26,0.0,Center(C),Above the Break 3,SEA,1,False,True,1,0
Reverse Layup Shot,Layup,0,0,4,0,2002,0,0.0,Center(C),Restricted Area,SEA,708,True,False,1,0
Turnaround Jump Shot,Jump Shot,121,7,4,0,2002,12,1.0,Right Side(R),Mid-Range,SEA,622,True,False,1,0
Jump Shot,Jump Shot,113,51,4,0,2002,12,0.0,Right Side(R),Mid-Range,SEA,223,True,False,1,0
Jump Shot,Jump Shot,-3,74,4,0,2002,7,0.0,Center(C),In The Paint (Non-RA),SEA,192,True,False,1,0
Jump Shot,Jump Shot,-15,114,4,0,2002,11,0.0,Center(C),In The Paint (Non-RA),SEA,128,True,False,1,0
Layup Shot,Layup,0,0,4,0,2002,0,0.0,Center(C),Restricted Area,SEA,109,True,False,1,0
Jump Shot,Jump Shot,-105,151,4,0,2002,18,0.0,Left Side Center(LC),Mid-Range,SEA,81,True,False,1,0
Jump Shot,Jump Shot,102,105,4,0,2002,14,0.0,Right Side(R),Mid-Range,SEA,47,True,False,1,0
Jump Shot,Jump Shot,1,74,1,0,2002,7,0.0,Center(C),In The Paint (Non-RA),LAC,612,True,False,1,0
Jump Shot,Jump Shot,105,-3,1,0,2002,10,0.0,Right Side(R),Mid-Range,LAC,585,True,False,1,0
Layup Shot,Layup,0,0,1,0,2002,0,0.0,Center(C),Restricted Area,LAC,582,True,False,1,0
Tip Shot,Tip Shot,0,0,1,0,2002,0,0.0,Center(C),Restricted Area,LAC,473,True,False,1,0
Jump Shot,Jump Shot,159,-28,2,0,2002,16,0.0,Right Side(R),Mid-Range,LAC,509,True,False,1,0
Jump Shot,Jump Shot,-3,206,2,0,2002,20,1.0,Center(C),Mid-Range,LAC,465,True,False,1,0
Jump Shot,Jump Shot,1,253,2,0,2002,25,0.0,Center(C),Above the Break 3,LAC,396,False,True,1,0
Driving Dunk Shot,Dunk,0,0,2,0,2002,0,1.0,Center(C),Restricted Area,LAC,369,True,False,1,0
Jump Shot,Jump Shot,-6,117,2,0,2002,11,0.0,Center(C),In The Paint (Non-RA),LAC,252,True,False,1,0
Jump Shot,Jump Shot,-151,66,2,0,2002,16,1.0,Left Side(L),Mid-Range,LAC,190,True,False,1,0
Jump Shot,Jump Shot,-158,191,2,0,2002,24,0.0,Left Side Center(LC),Above the Break 3,LAC,120,False,True,1,0
Jump Shot,Jump Shot,140,48,3,0,2002,14,1.0,Right Side(R),Mid-Range,LAC,643,True,False,1,0
Jump Shot,Jump Shot,-97,227,3,0,2002,24,1.0,Left Side Center(LC),Above the Break 3,LAC,617,False,True,1,0
Jump Shot,Jump Shot,-74,169,3,0,2002,18,0.0,Left Side Center(LC),Mid-Range,LAC,456,True,False,1,0
Jump Shot,Jump Shot,-200,68,3,0,2002,21,0.0,Left Side(L),Mid-Range,LAC,304,True,False,1,0
Jump Shot,Jump Shot,156,84,3,0,2002,17,1.0,Right Side(R),Mid-Range,LAC,167,True,False,1,0
Jump Shot,Jump Shot,197,-21,3,0,2002,19,0.0,Right Side(R),Mid-Range,LAC,66,True,False,1,0
Jump Shot,Jump Shot,-64,245,4,0,2002,25,0.0,Center(C),Above the Break 3,LAC,567,False,True,1,0
Jump Shot,Jump Shot,0,76,4,0,2002,7,0.0,Center(C),In The Paint (Non-RA),LAC,521,True,False,1,0
Jump Shot,Jump Shot,-230,64,4,0,2002,23,0.0,Left Side(L),Left Corner 3,LAC,330,False,True,1,0
Layup Shot,Layup,0,0,4,0,2002,0,1.0,Center(C),Restricted Area,LAC,308,True,False,1,0
Jump Shot,Jump Shot,158,10,4,0,2002,15,1.0,Right Side(R),Mid-Range,LAC,268,True,False,1,0
Jump Shot,Jump Shot,163,-29,4,0,2002,16,0.0,Right Side(R),Mid-Range,LAC,243,True,False,1,0
Slam Dunk Shot,Dunk,0,0,4,0,2002,0,1.0,Center(C),Restricted Area,LAC,186,True,False,1,0
Turnaround Jump Shot,Jump Shot,126,36,1,0,2002,13,1.0,Right Side(R),Mid-Range,DET,534,True,False,1,0
Jump Shot,Jump Shot,-141,100,1,0,2002,17,1.0,Left Side(L),Mid-Range,DET,230,True,False,1,0
Slam Dunk Shot,Dunk,0,0,1,0,2002,0,1.0,Center(C),Restricted Area,DET,171,True,False,1,0
Jump Shot,Jump Shot,164,-3,1,0,2002,16,0.0,Right Side(R),Mid-Range,DET,133,True,False,1,0
Jump Shot,Jump Shot,-107,141,2,0,2002,17,0.0,Left Side Center(LC),Mid-Range,DET,689,True,False,1,0
Jump Shot,Jump Shot,131,-26,2,0,2002,13,0.0,Right Side(R),Mid-Range,DET,633,True,False,1,0
Jump Shot,Jump Shot,161,12,2,0,2002,16,0.0,Right Side(R),Mid-Range,DET,585,True,False,1,0
Jump Shot,Jump Shot,5,270,2,0,2002,27,0.0,Center(C),Above the Break 3,DET,243,False,True,1,0
Jump Shot,Jump Shot,140,-11,2,0,2002,14,0.0,Right Side(R),Mid-Range,DET,8,True,False,1,0
Dunk Shot,Dunk,0,0,3,0,2002,0,0.0,Center(C),Restricted Area,DET,466,True,False,1,0
Running Jump Shot,Jump Shot,-105,81,3,0,2002,13,1.0,Left Side(L),Mid-Range,DET,426,True,False,1,0
Jump Shot,Jump Shot,-52,191,3,0,2002,19,0.0,Center(C),Mid-Range,DET,352,True,False,1,0
Driving Dunk Shot,Dunk,0,0,3,0,2002,0,1.0,Center(C),Restricted Area,DET,99,True,False,1,0
Jump Shot,Jump Shot,-84,117,4,0,2002,14,1.0,Left Side(L),Mid-Range,DET,707,True,False,1,0
Jump Shot,Jump Shot,-87,186,4,0,2002,20,0.0,Left Side Center(LC),Mid-Range,DET,618,True,False,1,0
Jump Shot,Jump Shot,-126,-21,4,0,2002,12,0.0,Left Side(L),Mid-Range,DET,527,True,False,1,0
Slam Dunk Shot,Dunk,0,0,4,0,2002,0,1.0,Center(C),Restricted Area,DET,522,True,False,1,0
Jump Shot,Jump Shot,-48,105,4,0,2002,11,0.0,Center(C),In The Paint (Non-RA),DET,440,True,False,1,0
Turnaround Jump Shot,Jump Shot,125,110,4,0,2002,16,1.0,Right Side Center(RC),Mid-Range,DET,88,True,False,1,0
Jump Shot,Jump Shot,-164,148,1,0,2002,22,1.0,Left Side Center(LC),Mid-Range,SEA,660,True,False,0,0
Hook Shot,Hook Shot,79,192,1,0,2002,20,0.0,Right Side Center(RC),Mid-Range,SEA,581,True,False,0,0
Jump Shot,Jump Shot,66,10,1,0,2002,6,1.0,Center(C),In The Paint (Non-RA),SEA,374,True,False,0,0
Jump Shot,Jump Shot,54,176,1,0,2002,18,1.0,Center(C),Mid-Range,SEA,250,True,False,0,0
Jump Shot,Jump Shot,105,240,1,0,2002,26,1.0,Right Side Center(RC),Above the Break 3,SEA,99,False,True,0,0
Jump Shot,Jump Shot,210,160,2,0,2002,26,0.0,Right Side Center(RC),Above the Break 3,SEA,641,False,True,0,0
Jump Shot,Jump Shot,-186,164,2,0,2002,24,0.0,Left Side Center(LC),Above the Break 3,SEA,542,False,True,0,0
Jump Shot,Jump Shot,-192,172,2,0,2002,25,1.0,Left Side Center(LC),Above the Break 3,SEA,689,False,True,0,0
Jump Shot,Jump Shot,67,248,2,0,2002,25,0.0,Center(C),Above the Break 3,SEA,260,False,True,0,0
Jump Shot,Jump Shot,94,163,2,0,2002,18,0.0,Right Side Center(RC),Mid-Range,SEA,232,True,False,0,0
Jump Shot,Jump Shot,92,33,2,0,2002,9,1.0,Right Side(R),Mid-Range,SEA,107,True,False,0,0
Jump Shot,Jump Shot,172,18,2,0,2002,17,0.0,Right Side(R),Mid-Range,SEA,87,True,False,0,0
Jump Shot,Jump Shot,28,150,3,0,2002,15,0.0,Center(C),Mid-Range,SEA,695,True,False,0,0
Driving Layup Shot,Layup,0,0,3,0,2002,0,1.0,Center(C),Restricted Area,SEA,643,True,False,0,0
Jump Shot,Jump Shot,-141,99,3,0,2002,17,0.0,Left Side(L),Mid-Range,SEA,576,True,False,0,0
Jump Shot,Jump Shot,-15,258,3,0,2002,25,0.0,Center(C),Above the Break 3,SEA,512,False,True,0,0
Jump Shot,Jump Shot,138,13,3,0,2002,13,0.0,Right Side(R),Mid-Range,SEA,443,True,False,0,0
Jump Shot,Jump Shot,52,156,3,0,2002,16,0.0,Right Side Center(RC),Mid-Range,SEA,203,True,False,0,0
Jump Shot,Jump Shot,144,-19,3,0,2002,14,0.0,Right Side(R),Mid-Range,SEA,148,True,False,0,0
Jump Shot,Jump Shot,189,38,3,0,2002,19,0.0,Right Side(R),Mid-Range,SEA,63,True,False,0,0
Jump Shot,Jump Shot,212,145,4,0,2002,25,1.0,Right Side Center(RC),Above the Break 3,SEA,433,False,True,0,0
Jump Shot,Jump Shot,5,245,4,0,2002,24,1.0,Center(C),Above the Break 3,SEA,402,False,True,0,0
Jump Shot,Jump Shot,176,219,4,0,2002,28,0.0,Right Side Center(RC),Above the Break 3,SEA,374,False,True,0,0
Jump Shot,Jump Shot,218,138,4,0,2002,25,0.0,Right Side Center(RC),Above the Break 3,SEA,341,False,True,0,0
Jump Shot,Jump Shot,-85,233,4,0,2002,24,0.0,Left Side Center(LC),Above the Break 3,SEA,116,False,True,0,0
Layup Shot,Layup,0,0,1,0,2002,0,0.0,Center(C),Restricted Area,IND,400,True,False,1,0
Jump Shot,Jump Shot,51,30,1,0,2002,5,1.0,Center(C),In The Paint (Non-RA),IND,334,True,False,1,0
Jump Shot,Jump Shot,69,140,1,0,2002,15,0.0,Center(C),Mid-Range,IND,271,True,False,1,0
Jump Shot,Jump Shot,-146,150,1,0,2002,20,1.0,Left Side Center(LC),Mid-Range,IND,153,True,False,1,0
Jump Shot,Jump Shot,-187,115,1,0,2002,21,0.0,Left Side(L),Mid-Range,IND,111,True,False,1,0
Jump Shot,Jump Shot,-159,61,1,0,2002,17,0.0,Left Side(L),Mid-Range,IND,18,True,False,1,0
Jump Shot,Jump Shot,-123,0,2,0,2002,12,0.0,Left Side(L),Mid-Range,IND,632,True,False,1,0
Jump Shot,Jump Shot,-163,97,2,0,2002,18,0.0,Left Side(L),Mid-Range,IND,300,True,False,1,0
Jump Shot,Jump Shot,-38,35,2,0,2002,5,0.0,Center(C),In The Paint (Non-RA),IND,26,True,False,1,0
Jump Shot,Jump Shot,84,171,3,0,2002,19,1.0,Right Side Center(RC),Mid-Range,IND,605,True,False,1,0
Running Jump Shot,Jump Shot,-39,71,3,0,2002,8,1.0,Center(C),In The Paint (Non-RA),IND,314,True,False,1,0
Running Jump Shot,Jump Shot,0,79,3,0,2002,7,1.0,Center(C),In The Paint (Non-RA),IND,237,True,False,1,0
Jump Shot,Jump Shot,-156,33,3,0,2002,15,0.0,Left Side(L),Mid-Range,IND,174,True,False,1,0
Jump Shot,Jump Shot,164,233,3,0,2002,28,0.0,Right Side Center(RC),Above the Break 3,IND,0,False,True,1,0
Driving Layup Shot,Layup,0,0,4,0,2002,0,1.0,Center(C),Restricted Area,IND,552,True,False,1,0
Reverse Dunk Shot,Dunk,0,0,4,0,2002,0,1.0,Center(C),Restricted Area,IND,376,True,False,1,0
Jump Shot,Jump Shot,36,173,4,0,2002,17,1.0,Center(C),Mid-Range,IND,309,True,False,1,0
Jump Shot,Jump Shot,77,197,4,0,2002,21,0.0,Right Side Center(RC),Mid-Range,IND,217,True,False,1,0
Jump Shot,Jump Shot,0,63,4,0,2002,6,0.0,Center(C),In The Paint (Non-RA),IND,199,True,False,1,0
Jump Shot,Jump Shot,-102,238,4,0,2002,25,0.0,Left Side Center(LC),Above the Break 3,IND,150,False,True,1,0
Jump Shot,Jump Shot,-117,-13,4,0,2002,11,0.0,Left Side(L),Mid-Range,IND,138,True,False,1,0
Jump Shot,Jump Shot,133,122,1,0,2002,18,1.0,Right Side Center(RC),Mid-Range,MIN,551,True,False,1,0
Running Jump Shot,Jump Shot,112,164,1,0,2002,19,0.0,Right Side Center(RC),Mid-Range,MIN,500,True,False,1,0
Jump Shot,Jump Shot,146,120,1,0,2002,18,0.0,Right Side Center(RC),Mid-Range,MIN,200,True,False,1,0
Jump Shot,Jump Shot,158,204,1,0,2002,25,1.0,Right Side Center(RC),Above the Break 3,MIN,118,False,True,1,0
Turnaround Jump Shot,Jump Shot,107,46,2,0,2002,11,1.0,Right Side(R),Mid-Range,MIN,699,True,False,1,0
Jump Shot,Jump Shot,-110,120,2,0,2002,16,0.0,Left Side Center(LC),Mid-Range,MIN,576,True,False,1,0
Jump Hook Shot,Jump Shot,10,68,2,0,2002,6,0.0,Center(C),In The Paint (Non-RA),MIN,573,True,False,1,0
Fadeaway Jump Shot,Jump Shot,176,-11,2,0,2002,17,1.0,Right Side(R),Mid-Range,MIN,290,True,False,1,0
Jump Shot,Jump Shot,-77,143,2,0,2002,16,0.0,Left Side Center(LC),Mid-Range,MIN,256,True,False,1,0
Jump Shot,Jump Shot,-204,-8,2,0,2002,20,0.0,Left Side(L),Mid-Range,MIN,141,True,False,1,0
Jump Shot,Jump Shot,-159,-9,3,0,2002,15,0.0,Left Side(L),Mid-Range,MIN,539,True,False,1,0
Jump Shot,Jump Shot,128,46,3,0,2002,13,1.0,Right Side(R),Mid-Range,MIN,446,True,False,1,0
Jump Shot,Jump Shot,-95,230,3,0,2002,24,1.0,Left Side Center(LC),Above the Break 3,MIN,5,False,True,1,0
Jump Shot,Jump Shot,-97,164,4,0,2002,19,1.0,Left Side Center(LC),Mid-Range,MIN,661,True,False,1,0
Jump Shot,Jump Shot,-74,81,4,0,2002,10,1.0,Left Side(L),In The Paint (Non-RA),MIN,630,True,False,1,0
Jump Shot,Jump Shot,39,255,4,0,2002,25,0.0,Center(C),Above the Break 3,MIN,539,False,True,1,0
Jump Shot,Jump Shot,-87,174,4,0,2002,19,0.0,Left Side Center(LC),Mid-Range,MIN,483,True,False,1,0
Jump Shot,Jump Shot,-128,158,4,0,2002,20,1.0,Left Side Center(LC),Mid-Range,MIN,341,True,False,1,0
Jump Shot,Jump Shot,112,174,1,0,2002,20,1.0,Right Side Center(RC),Mid-Range,PHI,561,True,False,1,0
Jump Shot,Jump Shot,87,63,1,0,2002,10,0.0,Right Side(R),Mid-Range,PHI,366,True,False,1,0
Turnaround Jump Shot,Jump Shot,149,12,1,0,2002,14,1.0,Right Side(R),Mid-Range,PHI,250,True,False,1,0
Jump Shot,Jump Shot,10,278,1,0,2002,27,0.0,Center(C),Above the Break 3,PHI,86,False,True,1,0
Jump Shot,Jump Shot,-97,137,2,0,2002,16,0.0,Left Side Center(LC),Mid-Range,PHI,683,True,False,1,0
Jump Shot,Jump Shot,163,-3,2,0,2002,16,0.0,Right Side(R),Mid-Range,PHI,582,True,False,1,0
Jump Shot,Jump Shot,-8,58,2,0,2002,5,1.0,Center(C),In The Paint (Non-RA),PHI,556,True,False,1,0
Jump Shot,Jump Shot,79,196,2,0,2002,21,1.0,Right Side Center(RC),Mid-Range,PHI,518,True,False,1,0
Jump Shot,Jump Shot,112,155,2,0,2002,19,0.0,Right Side Center(RC),Mid-Range,PHI,96,True,False,1,0
Jump Shot,Jump Shot,125,86,2,0,2002,15,0.0,Right Side(R),Mid-Range,PHI,29,True,False,1,0
Jump Shot,Jump Shot,171,-6,3,0,2002,17,0.0,Right Side(R),Mid-Range,PHI,547,True,False,1,0
Jump Shot,Jump Shot,-151,158,3,0,2002,21,1.0,Left Side Center(LC),Mid-Range,PHI,434,True,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2002,0,1.0,Center(C),Restricted Area,PHI,226,True,False,1,0
Jump Shot,Jump Shot,-38,141,3,0,2002,14,0.0,Center(C),Mid-Range,PHI,43,True,False,1,0
Jump Shot,Jump Shot,-122,140,3,0,2002,18,0.0,Left Side Center(LC),Mid-Range,PHI,0,True,False,1,0
Jump Shot,Jump Shot,-103,138,4,0,2002,17,0.0,Left Side Center(LC),Mid-Range,PHI,669,True,False,1,0
Jump Shot,Jump Shot,141,100,1,0,2002,17,0.0,Right Side(R),Mid-Range,CHI,687,True,False,0,0
Fadeaway Jump Shot,Jump Shot,-97,31,1,0,2002,10,1.0,Left Side(L),Mid-Range,CHI,455,True,False,0,0
Layup Shot,Layup,0,0,1,0,2002,0,0.0,Center(C),Restricted Area,CHI,432,True,False,0,0
Jump Shot,Jump Shot,187,-3,1,0,2002,18,1.0,Right Side(R),Mid-Range,CHI,407,True,False,0,0
Dunk Shot,Dunk,0,0,1,0,2002,0,1.0,Center(C),Restricted Area,CHI,385,True,False,0,0
Jump Shot,Jump Shot,172,41,1,0,2002,17,0.0,Right Side(R),Mid-Range,CHI,365,True,False,0,0
Jump Shot,Jump Shot,-69,191,2,0,2002,20,1.0,Left Side Center(LC),Mid-Range,CHI,702,True,False,0,0
Jump Shot,Jump Shot,74,197,2,0,2002,21,1.0,Right Side Center(RC),Mid-Range,CHI,585,True,False,0,0
Jump Shot,Jump Shot,222,107,2,0,2002,24,1.0,Right Side Center(RC),Above the Break 3,CHI,261,False,True,0,0
Jump Shot,Jump Shot,153,-11,2,0,2002,15,0.0,Right Side(R),Mid-Range,CHI,236,True,False,0,0
Jump Shot,Jump Shot,172,197,2,0,2002,26,0.0,Right Side Center(RC),Above the Break 3,CHI,167,False,True,0,0
Jump Shot,Jump Shot,-82,10,2,0,2002,8,1.0,Left Side(L),Mid-Range,CHI,114,True,False,0,0
Jump Shot,Jump Shot,166,10,3,0,2002,16,0.0,Right Side(R),Mid-Range,CHI,444,True,False,0,0
Layup Shot,Layup,0,0,3,0,2002,0,1.0,Center(C),Restricted Area,CHI,331,True,False,0,0
Layup Shot,Layup,0,0,3,0,2002,0,0.0,Center(C),Restricted Area,CHI,215,True,False,0,0
Jump Shot,Jump Shot,-191,125,3,0,2002,22,1.0,Left Side(L),Mid-Range,CHI,135,True,False,0,0
Jump Shot,Jump Shot,-176,181,3,0,2002,25,0.0,Left Side Center(LC),Above the Break 3,CHI,0,False,True,0,0
Jump Shot,Jump Shot,-146,160,4,0,2002,21,0.0,Left Side Center(LC),Mid-Range,CHI,672,True,False,0,0
Layup Shot,Layup,0,0,4,0,2002,0,0.0,Center(C),Restricted Area,CHI,630,True,False,0,0
Driving Layup Shot,Layup,0,0,4,0,2002,0,1.0,Center(C),Restricted Area,CHI,570,True,False,0,0
Jump Shot,Jump Shot,108,138,4,0,2002,17,1.0,Right Side Center(RC),Mid-Range,CHI,328,True,False,0,0
